date,pH,N,P,K
2025-08-24 09:00:00,7.0,19.91,15.03,25.1
2025-08-24 09:01:00,7.01,20.16,15.07,24.99
2025-08-24 09:02:00,6.98,20.24,14.87,25.16
2025-08-24 09:03:00,6.98,20.09,15.13,25.03
2025-08-24 09:04:00,6.95,20.4,15.01,25.12
2025-08-24 09:05:00,7.12,19.9,15.09,25.18
2025-08-24 09:06:00,6.97,20.11,15.25,25.06
2025-08-24 09:07:00,7.01,20.03,15.19,25.36
2025-08-24 09:08:00,7.01,19.83,15.09,25.21
2025-08-24 09:09:00,7.1,20.21,15.05,25.29
2025-08-24 09:10:00,7.04,20.22,14.93,25.21
2025-08-24 09:11:00,7.13,20.58,15.09,25.01
2025-08-24 09:12:00,7.04,20.43,15.16,25.4
2025-08-24 09:13:00,7.09,20.12,15.1,25.82
2025-08-24 09:14:00,7.04,20.72,15.2,25.61
2025-08-24 09:15:00,7.2,20.62,15.23,25.53
2025-08-24 09:16:00,7.03,20.51,15.22,25.53
2025-08-24 09:17:00,7.12,20.38,15.19,25.6
2025-08-24 09:18:00,7.14,20.25,15.29,25.72
2025-08-24 09:19:00,7.13,20.4,15.33,25.49
2025-08-24 09:20:00,7.11,20.71,15.19,25.87
2025-08-24 09:21:00,7.12,20.9,15.45,25.85
2025-08-24 09:22:00,7.13,20.85,15.32,25.88
2025-08-24 09:23:00,7.13,20.47,15.34,25.87
2025-08-24 09:24:00,7.19,20.37,15.43,25.84
2025-08-24 09:25:00,7.25,20.64,15.39,25.97
2025-08-24 09:26:00,7.12,20.28,15.48,26.0
2025-08-24 09:27:00,7.09,20.73,15.43,25.89
2025-08-24 09:28:00,7.15,20.66,15.35,25.89
2025-08-24 09:29:00,7.29,20.62,15.47,26.02
2025-08-24 09:30:00,7.13,20.41,15.33,26.27
2025-08-24 09:31:00,7.26,20.86,15.47,25.89
2025-08-24 09:32:00,7.26,20.67,15.47,25.88
2025-08-24 09:33:00,7.16,20.57,15.47,26.16
2025-08-24 09:34:00,7.22,20.25,15.49,26.17
2025-08-24 09:35:00,7.27,20.84,15.33,26.22
2025-08-24 09:36:00,7.18,21.22,15.47,26.27
2025-08-24 09:37:00,7.19,21.22,15.55,26.23
2025-08-24 09:38:00,7.18,20.82,15.57,26.51
2025-08-24 09:39:00,7.16,20.82,15.47,26.08
2025-08-24 09:40:00,7.18,21.05,15.71,26.23
2025-08-24 09:41:00,7.16,20.78,15.51,26.37
2025-08-24 09:42:00,7.23,21.06,15.71,26.17
2025-08-24 09:43:00,7.19,21.18,15.67,26.41
2025-08-24 09:44:00,7.24,21.29,15.57,26.72
2025-08-24 09:45:00,7.16,21.05,15.83,26.5
2025-08-24 09:46:00,7.26,21.05,15.55,26.56
2025-08-24 09:47:00,7.28,20.93,15.77,26.37
2025-08-24 09:48:00,7.15,20.96,15.79,26.49
2025-08-24 09:49:00,7.27,21.1,15.64,26.55
2025-08-24 09:50:00,7.31,21.24,15.86,26.59
2025-08-24 09:51:00,7.2,21.37,15.71,26.86
2025-08-24 09:52:00,7.34,21.05,15.77,26.77
2025-08-24 09:53:00,7.28,21.53,15.78,26.55
2025-08-24 09:54:00,7.23,21.2,15.76,26.78
2025-08-24 09:55:00,7.26,21.26,15.87,26.84
2025-08-24 09:56:00,7.3,21.14,15.88,26.96
2025-08-24 09:57:00,7.28,20.82,15.63,27.06
2025-08-24 09:58:00,7.3,21.5,15.95,26.69
2025-08-24 09:59:00,7.23,21.49,15.67,26.74
2025-08-24 10:00:00,7.29,21.31,15.95,26.7
2025-08-24 10:01:00,7.21,21.39,15.97,26.88
2025-08-24 10:02:00,7.28,21.5,15.76,27.01
2025-08-24 10:03:00,7.24,21.1,15.84,27.11
2025-08-24 10:04:00,7.25,21.33,15.79,26.97
2025-08-24 10:05:00,7.35,21.61,15.89,26.95
2025-08-24 10:06:00,7.35,21.22,15.89,27.05
2025-08-24 10:07:00,7.32,21.54,16.01,26.92
2025-08-24 10:08:00,7.24,21.23,16.07,27.38
2025-08-24 10:09:00,7.28,21.61,16.09,26.84
2025-08-24 10:10:00,7.36,21.53,15.91,27.13
2025-08-24 10:11:00,7.3,21.23,15.96,27.43
2025-08-24 10:12:00,7.41,21.8,15.82,27.14
2025-08-24 10:13:00,7.32,21.44,15.92,27.13
2025-08-24 10:14:00,7.31,21.44,16.11,27.12
2025-08-24 10:15:00,7.28,21.65,16.18,27.17
2025-08-24 10:16:00,7.31,21.86,15.91,27.42
2025-08-24 10:17:00,7.29,21.44,15.98,26.9
2025-08-24 10:18:00,7.34,21.67,16.05,27.47
2025-08-24 10:19:00,7.35,21.76,16.09,27.05
2025-08-24 10:20:00,7.26,21.82,16.0,27.23
2025-08-24 10:21:00,7.23,21.73,16.13,27.22
2025-08-24 10:22:00,7.21,21.64,16.05,27.39
2025-08-24 10:23:00,7.32,21.56,16.11,27.08
2025-08-24 10:24:00,7.24,21.75,16.17,27.4
2025-08-24 10:25:00,7.19,21.53,16.13,27.65
2025-08-24 10:26:00,7.32,21.17,16.09,27.15
2025-08-24 10:27:00,7.42,21.86,16.14,27.4
2025-08-24 10:28:00,7.29,21.96,16.15,27.28
2025-08-24 10:29:00,7.34,21.32,16.13,27.45
2025-08-24 10:30:00,7.3,21.6,16.15,27.4
2025-08-24 10:31:00,7.29,21.94,16.34,27.31
2025-08-24 10:32:00,7.34,22.24,16.25,27.49
2025-08-24 10:33:00,7.27,21.84,16.17,27.7
2025-08-24 10:34:00,7.3,21.7,16.28,27.41
2025-08-24 10:35:00,7.3,21.82,16.19,27.55
2025-08-24 10:36:00,7.25,22.14,16.35,27.26
2025-08-24 10:37:00,7.33,21.74,16.27,27.31
2025-08-24 10:38:00,7.27,21.72,16.24,27.53
2025-08-24 10:39:00,7.24,21.79,16.3,27.69
2025-08-24 10:40:00,7.3,21.71,16.11,27.53
2025-08-24 10:41:00,7.23,21.93,16.16,27.43
2025-08-24 10:42:00,7.27,22.24,16.16,27.48
2025-08-24 10:43:00,7.26,21.98,16.3,27.3
2025-08-24 10:44:00,7.32,21.88,16.47,27.58
2025-08-24 10:45:00,7.28,21.88,16.52,27.63
2025-08-24 10:46:00,7.25,21.63,16.37,27.43
2025-08-24 10:47:00,7.29,22.12,16.37,27.43
2025-08-24 10:48:00,7.32,21.94,16.14,27.54
2025-08-24 10:49:00,7.27,21.92,16.28,27.43
2025-08-24 10:50:00,7.24,22.6,16.26,27.49
2025-08-24 10:51:00,7.17,22.03,16.28,27.81
2025-08-24 10:52:00,7.18,21.82,16.33,27.46
2025-08-24 10:53:00,7.22,21.89,16.31,27.44
2025-08-24 10:54:00,7.2,22.21,16.17,27.4
2025-08-24 10:55:00,7.21,22.0,16.44,27.61
2025-08-24 10:56:00,7.22,21.7,16.27,27.46
2025-08-24 10:57:00,7.24,22.17,16.41,27.39
2025-08-24 10:58:00,7.21,21.86,16.59,27.68
2025-08-24 10:59:00,7.23,22.37,16.3,27.69
2025-08-24 11:00:00,7.21,22.21,16.15,27.38
2025-08-24 11:01:00,7.1,21.91,16.37,27.19
2025-08-24 11:02:00,7.15,22.25,16.52,27.61
2025-08-24 11:03:00,7.18,22.01,16.61,27.35
2025-08-24 11:04:00,7.12,22.17,16.3,27.57
2025-08-24 11:05:00,7.21,22.1,16.47,27.15
2025-08-24 11:06:00,7.25,21.83,16.38,27.57
2025-08-24 11:07:00,7.23,21.87,16.42,27.24
2025-08-24 11:08:00,7.15,22.21,16.7,27.53
